,album titles,artists,review titles,reviews
833,Out Loud,데미캣(Demicat),대중에게 한 발 더 다가선 데미캣,"재즈를 기반으로 다양한 장르를 넘나들며 활동하고 있는 DJ 겸 프로듀서 데미캣(Demicat)의 새 앨범 소식은 무척이나 반가웠다. 이 앨범이 나오던 같은 해의 여름 스멜스(Smells)의 [Up And Down] 앨범에 참여하면서 조용하게 소식을 전해오기는 했지만, 3년이란 시간은 2007년 [Life Streamin’] 이라는 싱글로 데뷔한 이래 가장 오랜 공백기였기 때문이다. 그 시간 동안 그가 고민하고 연마해온 것을 여실하게 보여주듯 [Out Loud EP]는 새로운 시도와 변화를 담고 있다. 그동안 주로 사용하던 어쿠스틱한 사운드를 덜어내고 신시사이저를 이용한 일렉트로 펑크(Electro Funk), 글리치 합(Glitch Hop), 누 디스코(Nu Disco), 덥스텝(Dubstep) 등 최근 댄스 뮤직 사이에 흐르는 기류를 담아냈다. 사운드의 질감은 달라졌지만 갖가지 비트 위를 유려하게 흐르는 멜로디 라인은 여전하다. 진가는 야광토끼가 피쳐링한 ‘Singing Bird’ 에서 보이는데, 데미캣이 대중과의 거리를 좁히려는 시도를 하는 게 아닐까 하는 생각이 들 정도로 전작들과 비교하면 대중적으로 들린다. 하지만 빠른 세상에서 흔들리지 않게 자신의 자리를 굳건히 지키겠다는 ‘Singing Bird’의 은유적인 가사처럼 데미캣은 방향을 잃지 않고 꾸준히 자신의 색을 구축하고 있다. 이것이 데미캣의 다음 작품을 계속 기다리게 만드는 힘이다. (글:성효선)"
834,After Moon,윔(WYM),달의 뒷편에서 온 몽환적인 음악,"이미 뉴욕에서 DJ 뵤른(Bjorn) 이라는 이름으로 클럽 DJ 와 프로듀서로 활동 한 바 있는 뵤른은 엠디에스(MDS)의 멤버로 인디 신에서 인기를 얻고 있는 곡들을 앰비언트, 누 디스코, 일렉트로 하우스 등 다양한 전자음악으로 재창조하여, 재치 있고 당돌한 리믹스(Remix) 트랙을 선보였다. 그런 그가 윔(Wym) 이라는 새로운 이름으로 앨범을 발표했다. 뵤른이라는 이름을 두고 굳이 다른 프로젝트명을 사용한 이유가 있었을까. 앨범을 들어보니 어느 정도 이해가 됐다. 달의 뒷면엔 무엇이 있을까. 모든 곡은 아날로그 신시사이저를 바탕으로 드럼과 기타, 색소폰, 피아노 등의 라이브 악기가 조화를 이루고 있다. 앨범의 후반부로 갈수록 고조되는 곡 구성과 배열이 아주 훌륭하다. 그래서 첫 트랙을 플레이하는 순간부터 마지막 트랙까지 하나의 서사처럼 매끈하게 흘러간다. 도입부가 인상적인 ‘Trying’ 나 ‘Blossom’ 같은 곡은 디페쉬 모드(Depeche Mode)나 뉴 오더(New Order)를 떠오르게 하면서 뉴 웨이브(New Wave)와 신스 팝(Synth Pop)을 구현하고, 몽환적인 보컬과 멜로디는 우주를 유영하는 기분이 들게 한다. 앨범의 보컬, 작사, 작곡, 프로듀싱, 믹싱에 이르기까지 앨범 제작의 거의 모든 과정을 도맡아 한 윔은 이 앨범을 통해 자신의 넓은 스펙트럼을 보여준다. 다음 작품이 벌써 기대된다. (글:성효선)"
835,Kaya - Deluxe Edition,Bob Marley(밥 말리) & The Wailers(웨일러스),"평화를 외치다, 밥 말리 베스트앨범","영국의 식민 통치를 받은 자메이카의 빈민가 출신인 세계적인 '레게' 뮤지션 밥 말리는, 어느 인터뷰에서 다음과 같은 말을 했다.
""나는 아버지가 없는 상태에서 태어났고 자랐다. 어머니는 나를 학교에 보내기 위해 주급 20실링를 받으면서 열심히 일했다. 나는 정식 교육을 받지 않았다. 하지만, 난 영감을 받았다.""
이 말은, 흑인 음악의 저항적인 음악 세계를 잘 표현하며, 나아가 자유를 갈망하는 '레게' 음악의 지향점을 잘 표현하고 있다. 아프리카의 불안정한 정치 상황과 가난의 슬픔, 자유를 향한 갈망이 바로 밥말리의 '레게' 이다. 빈민가의 용접공 출신인 밥말리는, 자유를 갈구하며 아프리카의 아픔을 노래한 '레전드'가 되었다. 콘서트에서 정쟁만 일삼던 정치인들을 화해시키려한 일화는 평화를 향한 밥말리의 메세지를 잘 알 수 있는 에피소드이다.

2013년에 발매된 이 베스트 앨범에는, 그의 널리 사랑받는 대표곡인 'No Woman, No Cry'를 비롯하여, 'Sun Is Shining', 'Go Tell It On The Mountain', 'Rebel's Hope', 'Don't Rock My Boat'등이 수록되어 있다. 정치/인종/종교의 갈등을 넘어서 희망과 사랑의 메세지를 전달하려한 밥말리의 주옥같은 명곡들은 아직까지도 전쟁이 그치지 않는 세상속에서 우리의 귀에 평화의 메세지를 울린다."
836,A Night At The Opera (2011 Remaster),Queen(퀸),어릴적 향수를 불러일으키는 퀸의 음악,"내가 그룹 퀸(Queen)을 처음 알게 된 것은 중학교 2학년 무렵이었다. 우연히 친구집에 놀러갔는데 그 친구가 들어보라며 틀어준 곡이 바로 'Bohemian Rhapsody' 였던 것이다. 당시 음악을 많이 들어보지 않아서 잘 모르던 시절이었음에도 이 노래에는 뭔가 다른 것이 있다는 느낌이 바로 들었다. 집에 돌아와서도 몇시간째 그 멜로디, 그 목소리가 머리속에 맴돌며 떠나질 않았다. 그래서 레코드점으로 갔다. 어 근데 그 노래가 없단다. 레코드점 아저씨 말로는 금지곡이란다. 아저씨가 내 밀었던 [A Night At The Opera](당시에는 앨범 제목도 몰랐다)는 앨범 표지는 지금과 같은 모양이었으나 그 안의 수록곡은 지금과 달랐다. 어떻게 노래를 구할 수 있느냐는 내 질문에 아저씨는 원판(수입음반을 당시에는 그렇게 불렀다)을 사면된다고 대답했다. 값은 2만 5천원. 나로서는 도저히 살 수 없는 가격이었다. 그래서 포기했다. 한편으론 궁금했다. 왜 금지곡이 되었는지. 그리고 헌책방에서 구한 팝송 잡지를 통해 그 사실을 알게 되었다. 'Bohemian Rhapsody'외에도 'Killer Queen', 'Another One Bites The Dust' 등이 금지곡이고 그 이유는 자세히 알 수도 없었지만 이해도 할 수 없었다. 또 그 노래들을 들으려면 뒷골목 레코드방에서 이른바 '빽판'(불법 복제음반)을 구하여야 한다는 것도 우연히 알게 되었다.

그렇게 시작된 나의 퀸(Queen) 사랑은 청소년기 내내 계속되었다. 나는 합법, 불법을 가리지 않고 당시 구할 수 있었던 그들의 모든 노래를 구했고(당시에는 지금처럼 mp3도 인터넷도 없던 시절이었다), 잡지, 기사, 사진을 모았다(지금은 많이 분실했다. 아까버라...).
들으면 들을 수록 마력이 있는 프레디 머큐리(Freddie Mercury)의 목소리, 브라이언 메이(Brian May)의 기타소리, 4인조 밴드가 만들어내는 완벽한 사운드와 화음, 그들만의 독특한 멜로디와 연주기법, 그리고 그 어떤 밴드도 시도하지 않는 실험적 시도까지... 퀸(Queen) 내가 알고 있는 어떤 밴드보다 위대했다. 누가 물어도 자신있게 내가 제일 좋아하는 뮤지션은 그룹 퀸(Queen) 이라고 대답할 수 있었다.

그러던 중 시대가 바뀌고 외국 음반사들이 국내에 직접 레코드를 유통하는, 이른바 직배레코드 시대가 열리게 되었다. 당시 우려하는 목소리도 많았으나, 나는 그 덕에 <EMI>에서 직배한 [A Night At The Opera] LP를 살 수 있었다. 내가 그들을 처음 알게 된 지 10년쯤 지났을 무렵이었다. 그 날 레코드점에서 구입한 음반을 들고 집으로 오면서 얼마나 감격스럽던지 주먹을 불끈 쥐고, 혼자서 하늘을 올려다보며 크게 웃었던 기억이 난다. 집에 와서 조심스레 음반을 뜯어 턴테이블에 올려 놓고 첫곡 'Death On Two Legs'의 피아노 전주를 듣는 순간 온 몸에 전율이 흘렀다.
그리고는 앨범을 찬찬히 살펴보았다. 이 앨범은 1장짜리 싱글 앨범이었음에도 앨범케이스는 더블 앨범의 것을 사용했고, 프레디 머큐리(Freddie Mercury)가 직접 디자인한 앨범 커버를 비롯해서 커버의 안쪽면에는 모든 곳의 가사와 연주, 곡에 대한 정보가 멋진 도안으로 적혀 있었다(요즘 CD나 디지털 음원을 들으면서는 이런 재미가 없어졌다. 아쉽다.). 그 후로 이 앨범을 몇 번쯤 들었는지는 도저히 셀 수가 없다. LP의 골이 무뎌져서 밋밋해 질 때까지 들었던 것 같다.

이 앨범은 퀸이 1975년에 발표한 네 번째 앨범으로(그러고보니 이제 40년이 되었다), 그들의 이름을 전세계에 알리게 된 세 번째 앨범인 [Sheer Heart Attack]에 이어 발표된 것이다. 세간의 기대를 저버리지 않고 그들은 이 앨범에서 불후의 명곡 'Bohemian Rhapsody'와 'Love Of My Life'를 선보임으로써 'Operatic Rock'의 지존(사실 퀸 말고 이런 음악을 하는 밴드는 없었다)이 되었고, 그들의 전성시대가 열리게 되었다.
원래 LP의 A side에는 'Death On Two Legs'부터 'Seaside Rendezvous'까지가 수록되어 있고, B side에 나머지 곡들이 수록되어 있다.
대부분의 보컬은 당연히 프레디 머큐리가 담당했으나, 'I'm In Love With My Car'는 드러머 로저 테일러(Roger Taylor)가 '39'과 'Good Company'는 기타리스트 브라이언 메이(Brian May)가 메일 보컬을 맡았다. 그리고 멤버 4명이 골고루 작곡과 편곡을 담당하고, 모든 연주와 노래, 프로듀싱까지도 직접 하는 ‘All round player’의 능력을 보여주었다(이 앨범에는 No synthesizer라고 적혀있다. 퀸이 신디사이저를 처음 사용한 것은 1980년 [Game]부터이다).

이 앨범에서는 앞서 말한 두 곡이 제일 유명하지만 다른 곡도 모두 손색 없는 것들이다. 추천하는 두 곡 중 먼저 'Lazing On A Sunday Afternoon'에서는 재미있는 멜로디와 익살스런 프레디의 목소리를 들을 수 있다. 푸른하늘의 유영석이 발표한 '푸른 하늘'이란 노래에서 이 곡의 멜로디와 구성을 일부 패러디한 듯한 느낌이 있는데, 유영석은 프레디의 광팬으로 알려져 있다. 두번째로 추천하는 'Seaside Rendezvous'는 마치 뮤지컬에 나오는 듯한 분위기의 노래이고, 간주 부분의 브라스 소리는 멤버들이 입으로 낸 것으로 앨범표지에 적혀 있다.

나는 이제 프레디가 세상을 떠났을 때의 나이보다 더 나이가 들어버렸지만, 아직도 퀸의 노래를 들으면 15세의 소년으로 돌아가곤 한다. 내 젊은 시절의 허기진 영혼을 채워주었던 이 앨범을 다른 분들에게도 추천한다.
누가 들어도 명반의 대열에 올리지 않을 수 없는 앨범이라고 자신 있게 말할 수 있다."
837,Hestory,김건모,우리 아들 너는 공부나 해라,"2003년에 발매된 김건모 8집 [Hestory]는 앨범 제목부터 참 독특합니다. 'He's story'의 줄임말 같기도 하고 'History'의 발음 같기도 합니다. [Hestory] 그의 이야기라는 앨범 제목에 가장 잘 어울리는 곡이 있다면 ‘My Son'이라고 할 수 있을 것 같습니다. 멜로디도 경쾌하지만 무엇보다도 가사가 겁나 웃깁니다. 어쩜 그리 귀에 쏙쏙 박히는지, 주입식 가사 전달이라고 해도 무방할 것 같네요.
‘My Son'은 멜로디 자체도 후크송마냥 경쾌하고 흥얼거리기 쉬운 밝은 멜로디입니다. 음 자체도 경쾌해서 듣고 있으면 기분이 좋아지지만 이 음을 가장 잘 살려주는 건 특색 있는 김건모의 목소리입니다. 개인적으로 노래와 보컬의 찰떡궁합이 이만큼 잘 어울리는 곡도 찾기 힘들다고 생각합니다. 2003년에 발매되었음에도 불구, 가사는 지금 들어도 전혀 어색하지 않습니다.

노래하고 싶은 아들에게 엄마가 해주는 한 마디... ’우리 아들.. 너는 못 생겨서 안된다.‘ 실망한 아들에게 아빠가 몰래 들어와 ’우리 아들 노래 한곡 들어나 볼까?‘ 능청스럽게 말해주자 아들이 열심히 노래를 부릅니다. ’나 태어나 처음 보는 공개 오디션‘에 열심히 부른 노래. 아버지 하시는 말씀 ’마마마 썬~, 너는 키 작아서 안된다. 엄마 들어오시기 전에 잠이나 자라‘ 그럼에도 아들은 노래하고 싶어요.

한 편의 시트콤 같은 이 이야기는 ‘My Son'의 가사입니다. 경쾌한 음과 개성 넘치는 보컬로 이 노래를 들으면 우울했던 얼굴에 절로 웃음이 지어집니다. 가장 든든한 아군인 아빠와 엄마의 웃지못할 현실적 조언에도 아들은 계속 노래부르겠다고 ’마마마 마더(파더) 나는 노래 하고 싶어요‘ 구절을 듣다보면 힘이 불끈 납니다. 그 누구의 말에도 잡초처럼 꿈을 포기하지 않는 모습은 경쾌하고 웃기는 가사와는 달리 뭉클하기도 하지요. 반복되는 후렴구도 참 즐겁습니다.

귀가 즐거운 노래가 아닌 마음이 즐거운 노래 ‘My Son' 모르고 지나가면 참 아쉬울 노래. 이 외에도 [Hestory]에는 애잔한 멜로디에 감성을 자극하는 슬픈 발라드 타이틀 곡 ’청첩장‘, 몸이 들썩이는 룰루랄라의 원조 ’제비‘ 등 참 주옥같은 곡들이 많습니다. 최고의 인기를 구가했던 김건모의 8집 [Hestory] 추천드립니다."
838,Halcyon Days (Deluxe Edition),Ellie Goulding(엘리 굴딩),"일렉트로닉과 완벽한 조화를 이루는 매력적인 보이스, 엘리 굴딩","캘빈 해리스와 함께한 'I Need Your Love', 'Outside'에서 보여주었듯 특히 일렉트로닉과의 조합이 완벽하게 어울리는 독특한 보이스로 자신만의 고유한 아이덴티티를 만들어가고 있는 엘리 굴딩은 현재 영국 팝 음악 시장을 논할 때 절대 뺄 수 없는 아티스트 중 한명이다. 2012년 발매된 두번째 정규앨범 [Halcyon]은 2010년 첫 데뷔작 [Lights]로 전세계의 주목을 받은 그녀가 세계적인 디제이 캘빈 해리스를 비롯해 마이크 스펜서, 마데온 등 다양한 아티스트들과 합을 맞추며 공을 들인 앨범으로, 당시 릴리즈와 동시에 UK 앨범차트 2위로 진입하고 영국에서 첫 주에만 3만장이 넘는 판매고를 올리며 결국 전작의 기록을 이어 UK 앨범차트 정상을 찍으며 흥행에 성공을 거둔 작품이다.

영국뿐만 아니라 유럽권과 북미 지역에서도 좋은 성적을 거둔 [Halcyon] 에는 타이틀 'Anything Could Happen'을 비롯해 웅장한 사운드와 덥스텝 사운드가 돋보이는 'Figure 8' 등이 수록되어 있는데, 지금 추천하는 이 앨범 [Halcyon Days]는 두번째 정규앨범 [Halcyon]에 새로운 싱글 'Burn', 그리고 우리나라에서도 크게 흥행한 영화, <어바웃 타임>에 삽입된 'How Long Will I Love You' 를 비롯해 10 곡이 추가로 수록되어 2013년 재발매된 작품이다.

특히 추가로 수록된 'Burn'은 그녀의 첫 넘버원 싱글로, 릴리즈와 동시에 첫 주에만 약 십만장이 넘는 판매고를 올리고 UK 싱글차트 3주 연속 1위를 차지하며 많은 사랑을 받아, 첫 데뷔 앨범 발매도 전부터 'BBC Sound Of 2010'를 거머쥔 그녀의 재능이 결코 일회성 반짝 스타의 것이 아니었음을 다시금 확인시킨 트랙이다. '브릿어워드'에서 평론가들의 러브콜을 받으며 2010년 크리틱스 초이스에 선정된 그녀가 4년만에 최우수 여성 보컬로 뽑히는데 큰 공을 한 그녀의 베스트 앨범이다."
839,Corinne Bailey Rae,Corinne Bailey Rae(코린 베일리 래),"2006년 최고의 소울 아티스트, 코린 베일리 래 데뷔 앨범","2006년 최고의 소울 아티스트로 극찬을 받았던 코린 베일리 래(Corinne Bailey Rae)의 셀프 타이틀 데뷔앨범이다. BBC ‘Sound of 2006’의 위너로 선정됐던, 코린 베일리 래는 1979년 2월 26일 영국 리즈(Leeds)에서 태어났다. 브리티시 소울 음악의 발전과정에서 코린 베일리 래 전후로 나뉠 수 있을 정도로 큰 영향력을 끼쳤던 데뷔작은 발매하자마자 108,181장의 판매고를 올리며 잭 존슨(Jack Johnson)을 밀어내고 UK 앨범차트 1위로 막바로 올랐는데(빌보드 앨범차트에선 4위까지 오름), 영국 음악계 역사상 데뷔작이 앨범차트 1위로 데뷔한 4번째 여성가수였다.
샤데이(Sade), 빌리 홀리데이(Billie Holiday), 에리카 바두(Erykah Badu), 메이시 그레이(Macy Gray)와 비견되며 각종 음악 매거진으로부터 찬사를 받았는데, UK 싱글차트 2위까지 올랐던 ‘Put Your Recods On’과 지금까지도 스테디 리스닝 트랙으로 자주 들려지는 ‘Like A Star’ 등 2곡의 시그니처 송과 ‘Touble Sleeping’, ‘I’d Like To’ 등 부드러운 재즈와 달달한 소울에 주술사가 마치 주문을 외우듯 끄집어 당기는 보컬의 매력에 빠질만한 트랙들이 가득하다.

끝으로 흔치 않은 기록 하나를 소개해드린다면, 코린 베일리 래는 두 번 연속 그래미 어워드 ‘올해의 노래(Song Of The Year)’ 부문 후보에 올랐었다. 2007년에 ‘Put Your Records On’으로, 2008년에 ‘Like A Star’로 연속 후보에 올랐지만, 2007년엔 딕스 칙스(Dixie Chicks)의 ‘Not Ready To Make Nice’에, 2008년엔 에이미 와인하우스(Amy Winehouse)의 ‘Rehab’에 자리를 물려주었다. 평단의 찬사에도 불구하고 상복이 없었지만, 아이러니하게도 2008년 허비 행콕(Herbie Hancock)의 [River: The Joni Letters] 앨범이 그래미 ‘올해의 앨범’ 부문에서 수상하면서 앨범 수록곡 ‘River’에 피처링 아티스트로 참여하면서 수상의 영광을 드디어 맛보게 된다."
840,tender,캐스커(Casker),오직 캐스커만의 감성,"‘캐스커’라는 이름은 이제 하나의 장르로 느껴질 정도다. 빠르게 변화하는 가요계에서 10년이 넘는 시간 동안 독자적인 스타일을 구축하며 존재감을 나타냈다. 이것은 장점이 될 수도, 단점이 될 수도 있다. 그러한 단점에서 벗어나기 위함인지 앨범의 곳곳에선 변화가 눈에 띈다. 어쿠스틱한 감성이 짙은 정순용이 피처링한 ‘나의 하루 나의 밤’이나 외로움을 극대화 시킨 조원선이 피쳐링한 ‘놓아줘’가 그렇다. 전작보다 더 자연스러운 느낌이 두드러지면서 내면의 소리에 집중하고 있는 느낌이 색다른 분위기를 만든다. 삶의 단면을 무심하고 무표정한 방식으로 포착하고, 인간의 내면에 있는 고독감과 상실감을 노래하고 있는 [Tender]는 화가 에드워드 호퍼(Edward Hopper)의 작품을 떠올리게 한다. 탱고, 보사노바 등의 다양한 리듬을 일렉트로닉 사운드와 버무려 캐스커의 스타일로 재해석해내는 사운드는 여전히 훌륭하고 ‘I Loved You’ 와 ‘꼭 이만큼만’에서 느껴지듯 융진의 보컬은 더욱 풍성해졌다. 같은 멜로디에 다른 가사로 남자의 고백과 여자의 대답이 짝을 이루고 있는 ‘물고기’와 ‘Hidden’ 트랙이 재미있다. 꼭 나란히 들어보길 바란다. (글:성효선)"
841,Volt Age Sound 6v,Various Artists,완성도 높은 전자 음악 컴필레이션 앨범,"2012년 말 한국 전자음악 신의 흐름을 조금 더 활발하게 이어가고자 하는 움직임이 있었다. 서울 일렉트로닉 시티와 영기획의 기획으로 현재 활발하게 활동 중인 3세대 전자 음악가들이 1세대 전자 음악가들의 존재를 확인하고 곡을 재해석하는 [RE:BORN] 프로젝트가 그것이다. 이 프로젝트를 함께 진행하던 이들은 두 달에 한 번 컴필레이션을 만드는 것을 목표로 ‘볼트 에이지 사운드(Volt Age Sound)’라는 ‘전자 음악 협동조합’을 만들었다. 정기적으로 꾸준하게 새 음악을 선보이는 것은 쉬운 일이 아니다. 그럼에도, 볼트 에이지 사운드에 속한 15명의 멤버는 유동적으로 팀을 구성하기도 하고, 따로 또 같이 6장의 음반을 만들어냈다. 이 외에도 파티와 라이브 공연을 통해 개개인의 성장을 돕고 기량을 발전시켜 나갔다. 이러한 움직임의 영향인지는 모르겠지만 와트엠(WATMM)(2013.01), 암페어(AMFAIR)(2013,11), 스탑 룩 리슨(Stop Look Listen)(2014.05), 페스티벌 모프(Festival Morph)(2014.08) 등 다양한 장르의 전자 음악가들의 라이브를 경험할 수 있는 창구가 생겼다. 한국 전자음악 신의 현주소를 엿볼 수 있었다는 점에서 이 프로젝트가 중요하고 소중하지만, 이러한 의미만으로 [Volt Age Sound 1v~6v]을 명반으로 선정한 것은 아니다. 각각 다른 컨셉을 지닌 6개의 컴필레이션 앨범은 참여한 음악가들 고유의 색을 담은 다양한 스타일과 높은 완성도를 자랑한다. 모든 이유가 충분하다. (글:성효선)"
842,Space Talk,망 이실로(Mang Esilo),미니멀리즘 안에 쫄깃하게 직조된 사운드,망 이실로는(Mang Esilo) 90년대 말에서 2000년대 초반 발현되었던 테크노 열풍이 종적을 감춘 2010년에 정규 앨범을 내며 등장했다. 망 이실로는 이미 이 앨범을 내기 전 운진(Unjin) 과 함께 미니멀 테크노 듀오 이스트 콜렉티브(East Collective)로 활동을 하면서 ‘2010년 밀러 프레쉬 엠(2010 Miller Fresh M)’ 대회의 우승을 거머쥐며 실력을 인정받았다. 미니멀 테크노와 마이크로 하우스가 주를 이루는 이 앨범은 단순한 루프(Loop)를 반복하며 흘러간다. 이 장르가 익숙치 않은 사람에겐 자칫 단조롭게 들릴 수도 있겠다. 하지만 조금만 귀를 기울이다 보면 이 단순해 보이는 비트 사이에서 얼핏 비슷하지만 각기 다른 질감의 사운드가 촘촘히 유기적으로 엮여 흐르고 있는 것을 발견하게 된다. 망 이실로는 현재 2013년에 이스트마스크와 함께 러스트 앤 더스트(RUST & DUST) 듀오를 결성하여 해외 각지에서 활동을 계속하고 있다. (글:성효선)
843,Youth!,Glen Check,터져나가는 젊음의 사운드,"글렌체크(Glen Check)에게 소포모어 징크스는 농담에 불과했다. 2집 [Youth!]는 형보다 나은 아우다. 그들은 80년대의 향수에 젖게 만드는 신스 팝부터 디스코와 훵크를 희석한 전자음악까지 두루 선보인다. 음반은 스페인 여행을 통해 수확한 영감을 녹여내어 2장으로 발매되었는데, 각각 밴드 셋, 컴퓨터로 작업한 인스트루멘탈 셋을 수록하고 있다. 이번에는 신시사이저를 위주로 한 사운드 메이킹에서 벗어나 디지털 피아노에 있는 스트링 사운드, 하프시코드 사운드, 기타 사운드를 적극적으로 응용했다. 또한 아날로그와 디지털을 오가는 작업을 하며 듣는 다양한 방법을 모색했다. 'Paint It Gold'는 기타 파트와 키보드 파트를 테이프로 녹음하고 다시 디지털화하는 작업을 거쳤다. 'I’ve Got this Feeling'은 데모로 녹음한 소리 조각들을 자르고 이어 붙여서 완성한 트랙이다. 글렌체크는 앨범을 만드는 과정 또한 흥미로운 음악가다. 본인들이 결성한 아트 크루인 ‘베이스먼트 레지스탕스’의 구성원들과 함께 A부터 Z까지 완성한다. 음악에 국한된 작업이 아니라 디자인, 패션, 영상까지 포괄하는 프로젝트인 셈이다. 영리한 듀오는 해외 교류도 활발히 하고 있는데, 2집 수록곡을 주제로 프랑스의 전자음악 레이블인 키츠네 메종(Kitsune Maison)과 로쉐 뮤지끄(Roche Musique)의 음악가들과 리믹스 작업을 진행하여 EP를 발매했다. (글:정은정)"
844,Point 9,Haihm(하임),"차갑지만 무게감 있는 일렉트로니카, 하임 [Point 9]","지독해져서 아름답다. 하임(Haihm)은 전자음을 활용하는 데에 더 집요해졌다. 소리가 지닌 질감에 집중했는데, 사운드의 배열과 건축적인 짜임새가 이를 증명한다. 가볍고 차가운 질감과 무게감 있는 요소를 병치하거나 갑작스럽게 등장하는 방식으로 입체적인 전개를 구사했다. 특히 '9.9'는 텍스처의 패션쇼라고 해도 과언이 아니다. 팝콘 같은 비트로 시작해서 하나둘 다른 질감의 사운드가 등장하며 빚어내는 풍경이 시시때때로 바뀐다. 어떠한 보컬도 없이 6분 가까이 재생되지만 줄곧 흥미진진하다. 가사의 변화도 엿보인다.

과거의 낭만적인 정서에서 벗어나 이번에는 회한, 공허가 지배적이다. '울지 않는 새'는 가사와 비트가 화학 작용을 일으킨 트랙이다. 가는 저음의 목소리와 차가운 비트로 전개되다가 후반부에 묵중한 비트와 마구 할퀴고 헤집는 듯한 글리치 사운드가 난입하면서 분위기가 전복된다. 이 곡은 그래픽 디자이너 파펑크(PARPUNK)와 협업으로 뮤직비디오도 제작되었는데, 소리의 각 요소의 특성과 움직임이 시각적으로 드러나 있다. (글:정은정)"
845,As Time Goes By,윤미래,"이 시대 최고의 보컬리스트이자 래퍼, 윤미래(T aka 윤미래)","최근 드라마 OST에서 종종 윤미래의 목소리를 들을 수 있는데요. 윤미래는 1997년 업타운(Uptown)으로 데뷔하고 2001년 자신의 첫 솔로앨범 [As Time Goes By]을 발표한 18년차된 가수지만 그 기간에 비해 많은 곡을 부르진 않았어요. 하지만 R&B와 랩에 있어서는 대한민국 최고라고 칭송받는데요. 그녀의 첫번째 앨범이 바로 [As Time Goes By]입니다.
이 앨범이 더 의미있는 이유는 당시 윤미래의 나이가 21살이었다는 점입니다. 단지 나이가 적었다는게 중요한게 아니라 그 어린 나이에 산전수전 다 겪은 성인도 흉내내지 못하는 흑인소울을 갖고 있었다는 점입니다. 노래를 들어보면 가사만큼이나 보컬에서 그 슬픔이 고스란히 전해집니다. 단순히 노래를 얼마나 기교있게 부르는가보다 기교를 통해 감정을 얼마나 더 효과적으로 전달할 수 있는가가 가수의 기량이지 않을까요?

'바보', '시간이 흐른 뒤' 그리고 '하루하루'..
첫번째 트랙부터 마지막 트랙까지 윤미래의 소울을 느낄 수 있는 앨범입니다."
846,(Rotten Apples) The Smashing Pumpkins Greatest Hits,The Smashing Pumpkins,박살난 호박들을 아시나요?,"너바나로 시작된 시애틀 그런지의 대척점(?)에 있던 빌리 코건의 독재적 밴드- 스매싱 펌킨스는 사이키델릭 락이란 무엇인가를 제대로 보여주는 감수성 깊은 밴드랍니다. 그들을 논할 때 특히 'Tonight, Tonight' 과 '1979', 'Today' 를 빼놓을 수 없겠는데요, 개인적으로 고등학교 야자시간에 많이 들었던 음악들이랍니다.. 공부할 때 듣기 적합한 음악은 아니에요. 들으면 들을수록 우울해질 수 있지만(;;) 그들의 대표곡들만 모아놓은 베스트 앨범은 음악을 좋아하시는 분이라면 한번쯤 필청해야할 리스트랍니다^^

특히 더블시디로 나온 3집은 많은 우려에도 불구하고 대성공을 이뤘죠? 드럼의 지미 챔벌린의 스캔들 때문에 4집 'Ava Adore' 에서는 드럼이 빠진 채 녹음되기도 했었습니다. 호불호가 갈리지만 그래도 4집 역시 어느정도 성공을 이뤘던 것 같고요. 일본인 맴버 제임스 이하와 여자 맴버인 디아시가 사랑에 빠져 스캔들이 나기도 했었구요.. (개인적으로 제임스 이하의 첫 솔로 앨범 중 'Beauty' 라는 곡도 추천드립니다~) 2000년 5집을 마지막으로 7월 4일에는 첫 내한공연을 하기도 했었죠. 그리고 화려한 은퇴를 하더니, 최근에는 새로운 맴버들과 함께 다시 신곡들을 내놓고 있죠?

스매싱 펌킨스의 에센스만을 모아놓은 베스트 앨범- 한번쯤 꼭 들어보시는 것도 좋을 것 같네요^^"
